 #r(1)  r_equiv
  2.     0.173469424
  3.     0.0921872482
  4.     0.0511168912
  5.     0.00944432151
  6.     0.00299192034
  7.    -0.00250175246
  8.    -0.00133670692
  9.     0.0100703342
  10.     0.000895136793
  11.    -0.00101908029
  12.     0.00105058425
  13.     0.00017679263
  14.    -0.000328805501
  15.     0.000980879879
  16.    -0.00253122905
  17.     0.00799563248
  18.    -0.0242685638
  19.     0.0505818315
  20.     0.366371185
  21.     0.143709019
  22.     0.197542816
  23.     0.261241466
  24.     0.319699705
  25.     0.468424201
  26.     0.602817953
  27.     0.880076408
  28.     1.18395412
  29.     1.70478594
  30.     2.35139441
  31.     3.35258842
  32.     4.6811676
  33.     6.6371274
  34.     9.31918621
  35.     13.1747789
  36.     18.5433674
  37.     26.1772823
  38.     36.8807564
  39.     52.0264626
  40.     73.3270721
  41.     103.402893
  42.     145.756607
  43.     205.501923
  44.     289.684021
  45.     408.383698
  46.     575.671875
  47.     811.509888
  48.     1143.91614
  49.     1612.49304
  50.     2272.96021
  51.     3203.95044
  52.     4516.21289
  53.     6365.93311
  54.     8973.18359
  55.     12648.2344
  56.     17828.3613
  57.     25129.957
  58.     35421.8242
  59.     49928.5938
  60.     70376.3516
  61.     99198.2109
  62.     139823.453
  63.     197086.141
  64.     277799.5
  65.     391567.531
  66.     551926.875
  67.     777958.125
  68.     1096556.13
  69.     1545628.63
  70.     2178609.5
  71.     3070814.25
  72.     4328401.
  73.     6101005.5
  74.     8599542.
  75.     12121296.
  76.     17085310.
  77.     24082218.
  78.     33944564.
  79.     47845800.
  80.     67439992.
  81.     95058512.
  82.     133987608.
  83.     188859216.
  84.     266202256.
  85.     375219424.
  86.     528882016.
  87.     745473728.
  88.     1.05076544E+009
  89.     1.48108275E+009
  90.     2.08762662E+009
  91.     2.94256666E+009
  92.     4.14762778E+009
  93.     5.84619469E+009
  94.     8.24036966E+009
  95.     1.16150262E+010
  96.     1.63716956E+010
  97.     2.3076352E+010
  98.     3.25267497E+010
  99.     4.5847339E+010
  100.     6.46230712E+010
  101.     9.10879867E+010
